Image,GT_Count,TP,FP,FN,Time_ms
1edited_3.jpg,11,8,2,3,470
6edited_57.jpg,1,1,0,0,459
9edited_170.jpg,2,1,3,1,462
9edited_177.jpg,1,1,5,0,465
9edited_185.jpg,1,1,2,0,461
9edited_180.jpg,2,1,3,1,462
9edited_192.jpg,2,2,2,0,463
9edited_194.jpg,2,2,1,0,461
11edited_241.jpg,1,1,0,0,458
11edited_240.jpg,6,5,3,1,467
11edited_246.jpg,2,1,0,1,458
11edited_254.jpg,1,1,1,0,460
12edited_256.jpg,1,1,2,0,461
13edited_264.jpg,1,1,3,0,462
14edited_276.jpg,2,2,1,0,461
14edited_291.jpg,1,0,0,1,457
15edited_297.jpg,1,1,9,0,471
21edited_359.jpg,9,6,1,3,466
20edited_355.jpg,13,8,12,5,484
22edited_367.jpg,7,4,3,3,467
25edited_412.jpg,1,0,0,1,457
25edited_416.jpg,2,2,2,0,463
25edited_426.jpg,2,2,3,0,464
25edited_436.jpg,1,0,0,1,457
25edited_439.jpg,1,1,1,0,460
26edited_477.jpg,1,0,0,1,457
26edited_482.jpg,1,1,2,0,461
27edited_545.jpg,1,1,1,0,460
26edited_488.jpg,2,2,2,0,462
26edited_489.jpg,3,2,0,1,460
27edited_562.jpg,1,1,2,0,461
27edited_571.jpg,1,1,0,0,459
26edited_506.jpg,2,1,1,1,460
28edited_603.jpg,1,1,0,0,459
28edited_612.jpg,1,1,0,0,458
30edited_622.jpg,1,1,3,0,463
30edited_629.jpg,1,1,2,0,461
30edited_630.jpg,1,0,1,1,458
30edited_637.jpg,1,1,1,0,460
